ID,Area,Sum_length,Density,Mean_price,Sum_Z,Mean_cy,Count_trans,POINT_X,POINT_Y
320,2.25,4.6717,2.0763,2700,6594,0,3,343856.4878,3402105.032
1043,2.25,4.707,2.092,0,4371,0,2,348388.833,3417075.811
3285,2.25,5.5063,2.4472,5455.79,87324,60518.81,7,363388.833,3463575.811
2644,2.25,8.0587,3.5816,0,4119,2095.2,3,373888.833,3450075.811
2056,2.25,3.9069,1.7364,0,4736,0,1,355888.833,3438075.811
1419,2.25,0,0,0,2558,0,18,372388.833,3424575.811
2286,2.25,0,0,0,956,0,2,376888.833,3442575.811
2020,2.25,5.6312,2.5027,0,3615,0,5,301888.833,3438075.811
679,2.25,6.4066,2.8474,0,9745,0,1,342388.833,3409575.811
903,2.25,6.8368,3.0386,0,3525,0,4,354388.833,3414075.811
2645,2.25,11.4568,5.0919,4148.82,6338,12098.19,4,375388.833,3450075.811
2113,2.25,6.9423,3.0855,3736.74,5127,0,2,333388.833,3439575.811
2062,2.25,7.6028,3.379,6154.05,1073,0,0,364888.833,3438075.811
2031,2.25,0,0,0,8962,0,0,318388.833,3438075.811
541,2.25,2.1357,0.9492,0,16246,0,0,351354.4384,3406622.114
3688,2.25,7.5275,3.3456,0,528,0,0,320344.64,3472344.339
3586,2.25,10.5422,4.6854,0,960,0,0,382888.833,3469575.811
3558,2.25,3.8722,1.721,0,1668,0,0,340888.833,3469575.811
2623,2.25,13.6753,6.0779,5640,124488,0,0,342388.833,3450075.811
918,2.25,0,0,0,954,0,0,376877.7395,3414236.146
2991,2.25,25.5895,11.3731,11424.5,215947,0,0,354388.833,3457575.811
3695,2.25,10.3155,4.5847,0,58585,0,0,330388.833,3472575.811
2095,2.25,4.0378,1.7946,0,718,0,0,306388.833,3439575.811
919,2.25,0.8145,0.362,0,772,0,0,378375.5428,3414273.599
2704,2.25,12.0858,5.3715,0,74739,81840.91,0,355888.833,3451575.811
4743,2.25,0,0,0,1361,0,0,390388.833,3493575.811
4141,2.25,0,0,0,22686,0,0,350911.8248,3480989.263
1975,2.25,1.5612,0.6939,0,5453,0,0,342388.833,3436575.811
1422,2.25,3.246,1.4427,0,6635,0,0,376888.833,3424575.811
2536,2.25,4.1515,1.8451,4933.33,144562,1396,0,319888.833,3448575.811
1198,2.25,5.7661,2.5627,0,2631,0,0,364888.833,3420075.811
5863,2.25,0,0,0,1596,0,0,342388.833,3517575.811
